h,exponent,architecture,num_parameters,dimension_computed,ambient_dimension,is_full_dimension,is_minimal,expected_dimension,defect_expected,defect_ambient,backend,primes,elapsed_seconds,status,covered_by_mfa
3.0,9.0,"[2, 297, 36, 9]",11610.0,648.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 6, 50, 9]",762.0,706.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 12, 47, 9]",1011.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 7, 58, 9]",942.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 6, 53, 9]",807.0,738.0,738.0,True,True,,,,,,,,
3.0,9.0,"[2, 294, 39, 9]",12405.0,702.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 1, 300, 9]",3002.0,10.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 11, 42, 9]",862.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 4, 65, 9]",853.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 300, 38, 9]",12342.0,684.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 300, 40, 9]",12960.0,720.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 8, 49, 9]",849.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 4, 57, 9]",749.0,688.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 5, 56, 9]",794.0,733.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 5, 59, 9]",836.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 7, 51, 9]",830.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 10, 44, 9]",856.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 8, 46, 9]",798.0,738.0,738.0,True,True,,,,,,,,
3.0,9.0,"[2, 5, 58, 9]",822.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 9, 44, 9]",810.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 7, 50, 9]",814.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 10, 42, 9]",818.0,738.0,738.0,True,False,,,,,,,,
3.0,9.0,"[2, 9, 42, 9]",774.0,723.0,738.0,False,False,,,,,,,,
3.0,9.0,"[2, 10, 41, 9]",799.0,738.0,738.0,True,True,,,,,,,,
3.0,9.0,"[2, 4, 63, 9]",827.0,738.0,738.0,True,False,,,,,,,,
